                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5943,                 3.6502,                 4.2211,                0.01289,                    0.7,                0.04083,                0.01469,                 2.7859,                 3.3974,                 4.1588,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.3804,                  3.583,                 4.1969,                0.01391,                0.68571,                0.04907,                0.01547,                 2.7814,                 3.3948,                  4.158,             0.00013769,             0.00013769,             0.00013769
                      3,                  3.352,                 3.5686,                 4.1805,                  0.015,                0.68571,                0.14512,                0.04135,                 2.7796,                 3.3884,                 4.1549,             0.00021274,             0.00021274,             0.00021274
                      4,                 3.2928,                 3.5113,                 4.1308,                 0.0142,                    0.7,                0.14108,                0.04393,                 2.7722,                 3.3729,                 4.1498,             0.00028515,             0.00028515,             0.00028515
                      5,                 3.6343,                 3.4041,                 4.1249,                  0.014,                    0.7,                0.13816,                0.04223,                  2.766,                 3.3601,                 4.1444,             0.00035492,             0.00035492,             0.00035492
                      6,                 3.5412,                 3.3591,                 4.1058,                  0.014,                    0.7,                0.12407,                0.04265,                 2.7533,                 3.3372,                 4.1362,             0.00042205,             0.00042205,             0.00042205
                      7,                 3.4461,                 3.1218,                 4.0567,                 0.0138,                    0.7,                0.10787,                 0.0359,                 2.7419,                 3.3016,                 4.1233,             0.00048654,             0.00048654,             0.00048654
                      8,                 3.6528,                 2.8422,                 3.9963,                0.00477,                0.88571,                0.17497,                0.06279,                 2.7258,                 3.2684,                 4.1065,             0.00054839,             0.00054839,             0.00054839
                      9,                 3.4417,                 2.7172,                  3.971,                 0.0043,                0.88571,                0.30991,                0.10584,                 2.6986,                 3.2381,                 4.0854,              0.0006076,              0.0006076,              0.0006076
                     10,                 3.4543,                 2.5803,                  3.869,                0.00432,                0.88571,                0.32423,                0.09881,                 2.6591,                 3.1877,                 4.0505,             0.00066417,             0.00066417,             0.00066417
                     11,                 3.4855,                 2.4427,                 3.8472,                0.00434,                0.88571,                0.31661,                0.09896,                 2.6323,                 3.1924,                 4.0269,              0.0007181,              0.0007181,              0.0007181
                     12,                 3.3735,                 2.3541,                 3.7094,                 0.0043,                0.88571,                0.30583,                0.09566,                 2.6028,                 3.1451,                 3.9908,             0.00076939,             0.00076939,             0.00076939
                     13,                 3.2669,                 2.3461,                 3.6959,                0.00421,                0.88571,                0.31195,                0.10588,                 2.5516,                 3.2973,                 3.9204,             0.00081804,             0.00081804,             0.00081804
                     14,                  3.166,                 2.3024,                 3.6362,                0.00424,                0.88571,                0.30952,                0.09906,                 2.5423,                 3.1853,                 3.9133,             0.00086405,             0.00086405,             0.00086405
                     15,                 3.2475,                 2.2577,                 3.6223,                0.00424,                0.88571,                 0.3106,                0.10965,                 2.4985,                 3.0233,                 3.8489,             0.00090742,             0.00090742,             0.00090742
                     16,                 3.1038,                 2.3331,                  3.605,                0.00421,                0.88571,                0.31829,                0.10076,                 2.5116,                 2.9919,                 3.7809,             0.00094815,             0.00094815,             0.00094815
                     17,                 3.3203,                 2.2978,                  3.585,                0.00417,                0.88571,                0.18934,                0.07835,                 2.5503,                 2.9648,                 3.6725,             0.00098624,             0.00098624,             0.00098624
                     18,                 2.6818,                 2.1205,                 3.3681,                0.00448,                0.92857,                0.20194,                0.08435,                 2.5945,                 2.7707,                 3.5481,              0.0010217,              0.0010217,              0.0010217
                     19,                 3.0199,                 2.1222,                 3.4135,                 0.1132,                0.36656,                0.13766,                0.05225,                 2.7536,                  2.692,                 3.2805,              0.0010545,              0.0010545,              0.0010545
                     20,                 3.2397,                 2.3489,                 3.5687,                0.00781,                0.88571,                0.29501,                0.09423,                 2.6634,                 3.0286,                   3.93,              0.0010847,              0.0010847,              0.0010847
                     21,                 2.3495,                 4.7017,                 2.5163,                0.34275,                0.35019,                0.26944,                0.12536,                 2.5425,                  2.454,                 3.5352,              0.0011122,              0.0011122,              0.0011122
                     22,                 2.8201,                 1.8948,                 3.1797,                0.33939,                0.42857,                 0.3398,                0.14446,                 2.5994,                 2.3675,                 3.4214,              0.0011371,              0.0011371,              0.0011371
