                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9757,                  1.641,                 2.4889,                0.81781,                0.80537,                0.85995,                0.59437,                 1.2455,                 1.2185,                 2.0271,                0.00016,                0.00016,                0.00016
                      2,                 1.8302,                 1.4013,                 2.3365,                0.87289,                0.81879,                0.87366,                0.53723,                 1.4244,                 1.1888,                 2.0419,             0.00033439,             0.00033439,             0.00033439
                      3,                 1.8483,                 1.4129,                 2.3358,                0.85936,                0.77917,                0.83703,                0.56349,                 1.1879,                 1.1308,                 1.9171,             0.00050284,             0.00050284,             0.00050284
                      4,                 1.7596,                 1.4014,                 2.2753,                0.75786,                0.72483,                0.82995,                0.51995,                 1.2627,                 1.3035,                 2.0969,             0.00066535,             0.00066535,             0.00066535
                      5,                 1.8526,                 1.4029,                 2.3457,                0.85573,                0.77181,                0.84989,                 0.5343,                 1.4147,                 1.3554,                  1.956,             0.00082192,             0.00082192,             0.00082192
                      6,                 1.6223,                 1.3716,                 2.1323,                0.83716,                0.79356,                0.84288,                0.56398,                 1.2827,                 1.1514,                 1.8676,             0.00097255,             0.00097255,             0.00097255
                      7,                 1.7504,                 1.4476,                 2.2931,                0.85321,                0.81923,                0.87933,                  0.592,                 1.3917,                  1.197,                 1.9473,              0.0011172,              0.0011172,              0.0011172
                      8,                 1.6082,                 1.3457,                 2.2299,                0.64944,                0.73826,                0.66681,                0.37524,                 1.8095,                 1.4534,                 2.1648,               0.001256,               0.001256,               0.001256
                      9,                 1.7273,                 1.3491,                 2.2386,                0.82243,                0.77711,                0.83233,                0.53484,                 1.2842,                 1.2537,                 1.8577,              0.0013888,              0.0013888,              0.0013888
                     10,                 1.6661,                 1.3057,                 2.2029,                0.75029,                0.74614,                0.73202,                 0.4692,                 1.4083,                 1.3455,                 2.0111,              0.0015157,              0.0015157,              0.0015157
                     11,                 1.6022,                 1.3095,                 2.0689,                0.65886,                0.71812,                0.72989,                   0.47,                 1.4033,                   1.21,                  2.008,              0.0016366,              0.0016366,              0.0016366
                     12,                 1.5872,                 1.2073,                 2.0888,                0.67095,                0.56376,                0.63232,                0.34394,                 1.5207,                 1.3632,                 2.2407,               0.001637,               0.001637,               0.001637
                     13,                 1.5898,                  1.192,                 2.0859,                0.73158,                0.58389,                0.70103,                0.40673,                 1.6896,                 1.7883,                 2.2732,               0.001604,               0.001604,               0.001604
                     14,                 1.6372,                 1.2322,                 2.0324,                 0.8513,                0.80687,                0.88278,                0.58286,                 1.2244,                 1.2143,                  1.915,               0.001571,               0.001571,               0.001571
                     15,                 1.5274,                 1.2188,                 2.0399,                0.87905,                0.78042,                0.86203,                0.58358,                 1.1107,                 1.0793,                 1.8161,               0.001538,               0.001538,               0.001538
                     16,                 1.5576,                 1.1776,                 2.0402,                0.85976,                0.78175,                0.86747,                0.58089,                 1.2374,                 1.1609,                 1.8438,               0.001505,               0.001505,               0.001505
                     17,                 1.5567,                 1.1444,                 2.0225,                0.88306,                0.79195,                0.90295,                0.65645,                 1.0245,                 1.1172,                 1.7229,               0.001472,               0.001472,               0.001472
                     18,                  1.585,                 1.2526,                 2.1288,                0.87308,                0.80537,                0.88469,                0.57471,                  1.471,                 1.2099,                 1.8776,               0.001439,               0.001439,               0.001439
